PLAYER_NAME,TEAM_ABBREVIATION,AGE,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS
Tim Hardaway Jr.,DAL,31.0,71,37,34,0.521,30.3,4.8,11.9,0.401,3.0,7.7,0.385,1.8,2.3,0.77,0.3,3.2,3.5,1.8,0.8,0.7,0.2,0.4,1.7,2.2,14.4,2.3
Tobias Harris,PHI,30.0,74,47,27,0.635,32.9,5.7,11.4,0.501,1.7,4.4,0.389,1.5,1.7,0.876,0.9,4.8,5.7,2.5,1.2,0.9,0.5,0.7,2.0,1.5,14.7,4.0
Tony Bradley,CHI,25.0,12,5,7,0.417,2.8,0.5,1.0,0.5,0.3,0.4,0.6,0.3,0.3,1.0,0.1,0.8,0.9,0.1,0.1,0.1,0.1,0.0,0.2,0.2,1.6,0.9
Torrey Craig,PHX,32.0,79,44,35,0.557,24.7,2.9,6.3,0.456,1.3,3.2,0.395,0.4,0.6,0.711,1.8,3.6,5.4,1.5,0.9,0.6,0.8,0.3,2.3,0.7,7.4,-2.2
Trae Young,ATL,24.0,73,38,35,0.521,34.8,8.2,19.0,0.429,2.1,6.3,0.335,7.8,8.8,0.886,0.8,2.2,3.0,10.2,4.1,1.1,0.1,1.2,1.4,6.4,26.2,1.4
Tre Jones,SAS,23.0,68,20,48,0.294,29.2,5.0,10.9,0.459,0.7,2.3,0.285,2.2,2.5,0.86,0.8,2.8,3.6,6.6,1.6,1.3,0.1,0.6,1.4,2.7,12.9,-4.8
Tre Mann,OKC,22.0,67,31,36,0.463,17.7,2.9,7.5,0.393,1.2,3.8,0.315,0.6,0.8,0.764,0.4,1.9,2.3,1.8,0.9,0.6,0.2,0.2,1.5,0.8,7.7,0.9
Trendon Watford,POR,22.0,62,26,36,0.419,19.1,2.9,5.2,0.56,0.4,1.0,0.391,1.2,1.6,0.72,0.7,3.2,3.8,2.1,1.1,0.5,0.2,0.2,1.9,1.5,7.4,-2.9
Trent Forrest,ATL,25.0,23,9,14,0.391,12.0,1.1,2.6,0.417,0.0,0.1,0.0,0.1,0.1,0.667,0.2,1.4,1.6,1.7,0.7,0.3,0.1,0.3,0.7,0.3,2.3,-2.5
Trevelin Queen,IND,26.0,7,2,5,0.286,10.0,1.0,4.1,0.241,0.3,2.1,0.133,0.7,0.7,1.0,1.1,1.3,2.4,0.9,1.0,0.3,0.7,0.1,0.6,0.7,3.0,2.0
Trevor Hudgins,HOU,24.0,5,0,5,0.0,5.7,0.4,1.8,0.222,0.4,1.6,0.25,0.6,0.6,1.0,0.0,0.0,0.0,0.6,0.2,0.0,0.0,0.0,0.2,0.4,1.8,0.6
Trevor Keels,NYK,19.0,3,3,0,1.0,2.7,0.3,1.3,0.25,0.3,1.3,0.25,0.0,0.0,0.0,0.0,0.7,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-6.0
Trey Lyles,SAC,27.0,74,43,31,0.581,16.9,2.5,5.5,0.458,1.2,3.2,0.363,1.4,1.7,0.815,0.9,3.1,4.1,0.9,0.9,0.4,0.4,0.3,1.3,1.4,7.6,1.4
Trey Murphy III,NOP,23.0,79,39,40,0.494,31.0,4.9,10.1,0.484,2.6,6.3,0.406,2.2,2.4,0.905,0.7,2.8,3.6,1.4,0.8,1.1,0.5,0.3,2.0,1.6,14.5,0.5
Troy Brown Jr.,LAL,23.0,76,40,36,0.526,24.5,2.6,6.1,0.43,1.4,3.7,0.381,0.4,0.5,0.872,0.8,3.2,4.1,1.3,0.6,0.8,0.2,0.4,1.6,0.6,7.1,-0.2
Ty Jerome,GSW,25.0,45,22,23,0.489,18.1,2.6,5.4,0.488,0.8,2.0,0.389,0.8,0.9,0.927,0.2,1.6,1.7,3.0,0.7,0.5,0.1,0.2,1.4,0.9,6.9,-2.0
TyTy Washington Jr.,HOU,21.0,31,6,25,0.194,14.0,1.9,5.2,0.363,0.6,2.6,0.238,0.3,0.6,0.556,0.1,1.4,1.5,1.5,0.5,0.5,0.1,0.1,0.9,0.6,4.7,-1.5
Tyler Dorsey,DAL,27.0,3,2,1,0.667,2.8,1.3,1.7,0.8,0.3,0.7,0.5,0.0,0.0,0.0,0.3,0.3,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.7
